Row Labels,Sum of deaths_new,Sum of cases_new
Johor,4770,420476
2020,35,5734
2021,3813,239206
2022,834,152843
2023,77,9124
2024,11,11328
2025,0,2241
Kedah,2775,333286
2020,12,3024
2021,2131,165362
2022,586,149679
2023,43,9096
2024,3,5418
2025,0,707
Kelantan,1430,269231
2020,8,758
2021,1240,168285
2022,180,90797
2023,2,6448
2024,0,2699
2025,0,244
Melaka,1227,164704
2020,6,1225
2021,949,75065
2022,243,67956
2023,26,14186
2024,3,5533
2025,0,739
Negeri Sembilan,1552,244989
2020,13,7828
2021,1306,105736
2022,213,116999
2023,18,8538
2024,2,4988
2025,0,900
Pahang,1042,191759
2020,7,1365
2021,759,93981
2022,261,87031
2023,14,5334
2024,1,3227
2025,0,821
Perak,2190,251877
2020,16,3195
2021,1386,125844
2022,723,109441
2023,59,9103
2024,6,3581
2025,0,713
Perlis,202,21349
2020,2,46
2021,135,7123
2022,60,11790
2023,4,1161
2024,1,1147
2025,0,82
Pulau Pinang,2101,325467
2020,9,3488
2021,1747,157616
2022,310,145828
2023,31,10819
2024,4,6170
2025,0,1546
Sabah,3216,414623
2020,264,37040
2021,2519,203492
2022,419,166016
2023,13,5117
2024,1,2687
2025,0,271
Sarawak,1807,335098
2020,19,1117
2021,1601,251183
2022,167,71301
2023,16,7636
2024,4,3088
2025,0,773
Selangor,11066,1640294
2020,45,32395
2021,9914,754235
2022,987,758444
2023,104,63640
2024,16,27004
2025,0,4576
Terengganu,909,143508
2020,1,325
2021,706,82355
2022,191,50051
2023,10,6244
2024,1,4212
2025,0,321
W.P. Kuala Lumpur,2872,526668
2020,22,13487
2021,2647,197363
2022,180,255563
2023,19,40595
2024,4,17413
2025,0,2247
W.P. Labuan,160,24021
2020,9,1701
2021,143,9123
2022,6,12094
2023,2,753
2024,0,335
2025,0,15
W.P. Putrajaya,32,39303
2020,3,282
2021,20,9107
2022,6,22758
2023,3,5168
2024,0,1836
2025,0,152
Grand Total,37351,5346653
